"﻿Customer Name","Customer Country","Description of the Customer's AI Use Case(s)","Opportunity Size V2",Status,Maturity,"Importance Classification","Priority - CoE Priotization","AI CoE Lead","AI Co-Prime",Specialist,"Opportunity ID",Region,"Slack Channel",Date,"Submitter Slack Email",Submitter,Comments,Proposal,Canvas,Partner,"Last communication"
"AUS, ZU and HCT",UAE,"Most universities don't have a chatbot or have limited capabilities. I have one use case for helping onboard new students with STUDENT HANDBOOK. It uses Rag Agents, Object Storage as knowledge base and ODA as web channel. Once the framework is ready we can replicate it by changing the knowledge base for other universities as well. @Kashif","<= $100K",Active,Discovery,"Tier 1 - Incoming Engagement",,muhammad.k.manzoor@oracle.com,,,A6XP9F,MEA,C08463YT8MD,"April 4th, 2025 at 11:15 AM UTC",WLB5EG996,fatih.k.keles@oracle.com,,,,,
CLSR,"Saudi Arabia","This is the government legal research center that studies new laws and updates to existing laws before government approve and adopt them. Need to engage a partner to help them comparing similar work done in Egypt as a start. Need to conduct a POC and shared Arabic documents for the POC.",<=$500K,Active,Solutioning,"Tier 1 - Incoming Engagement",,aseel.addawood@oracle.com,osama.alhaj-issa@oracle.com,,A7M2GW,MEA,C08NA46FA49,"April 6th, 2025 at 10:40 AM UTC",U08521J1272,osama.alhaj-issa@oracle.com,,,,,
"Primary Healthcare Corporation",Qatar,"The customer would like to have an  Artificial Intelligence to support Enhanced Ophthalmology
Screening",<=$500K,Active,Qualification,"Tier 1 - Incoming Engagement",,cristina.lemnaru@oracle.com,aysar.yousef@oracle.com,,A87XVQ,MEA,C08M4LH2YHZ,"April 7th, 2025 at 9:55 AM UTC",U03LJLHBBEE,ahmed.selim@oracle.com,,,,mannai,
SAJCO,"Saudi Arabia","we have the following requirement from the customer  First Use Case:
ML for enhancing the decision-making process:
we agreed to propose VM.A10.2 to machine learning for enhancing the decision-making process use case .
Second Use Case:
LLM (Large Language Model) – based on LAMA :
we need a help of  AI COE team for this requirement .","<= $100K",Active,Discovery,"Tier 1 - Incoming Engagement",,aseel.addawood@oracle.com,,,A86PMZ,MEA,C08MD3XAA77,"April 7th, 2025 at 11:50 AM UTC",U06RBU53064,feras.alrashdan@oracle.com,,,,,
"Qatar Foundation",Qatar,"Please engage andreas.stellatos@oracle.com to work with us on the following AI use cases 
Use case 1: AI-Based Student Financial Aid Loans  & Scholarships Application Score Prediction and Documents Fraud Detection 
Use case 2: AI-Based Universal Contact Center (UCC) Ticket Categorization and Sentiment Analysis",<=$500K,Inactive,,"Tier 1 - Incoming Engagement",,,,,A6LQ5Z,MEA,,"April 7th, 2025 at 12:53 PM UTC",U03LJLHBBEE,ahmed.selim@oracle.com,,,,,
"Radius (UK Fuels)","United Kingdom","Customer has requested an onsite meeting on Thursday 8th May to meet with there AI CoE who are engaging with current suppliers regarding there AI Plans and requirements. Radius have two on Prem ODA's which underpin key custom applications and have agreed to explore how we can use our Ai capabilities to help them. CIO will be attending and has had previous engagement with me and Jomon Kunnel from our CoE Team.",<=$500K,Inactive,Qualification,"Tier 1 - Incoming Engagement",,jomon.kunnel@oracle.com,,,"A83J9M Opp for a Pilot/MVP",West,C08MXMG976C,"April 7th, 2025 at 1:23 PM UTC",WTMC20QJC,randeep.singh.dhillon@oracle.com,,,,,
Hospiten,Spain,"Hospiten is a private group of hospitals that want to build the next generation of health services with the help of AI. They are starting with the AI Clinical Assistant that is able to support doctors on their daily tasks, aiming for voice assisted medical copilot to help on summarizing visits, create documents and prescriptions.",<=$500K,Inactive,Discovery,"Tier 1 - Incoming Engagement",,srinivas.karri@oracle.com,jorge.rodriguez.pereyra@oracle.com,,N/A,South,C08LQDHLXL7,"April 7th, 2025 at 2:18 PM UTC",U07UW9AV9P1,jorge.rodriguez.pereyra@oracle.com,,,,,
"North Cumbria Integrated Trust",UK,"working on a POC for this trust for a DB migration and they have raised a request of using synthetic data rather than their own - can we generate this through AI?","<= $100K",Inactive,,"Tier 1 - Incoming Engagement",,,,,A7KKS6,South,,"April 2nd, 2025 at 12:08 PM UTC",U03SM6SH12T,katie.armstrong@oracle.com,,,,,
"Intuition Robotics Ltd",Israel,"A prospect has shared a document with us that elaborates on their needs in the realm of GenAI services. The document also outlines some basic requirements regarding pricing, tokens per second, rounds, latency, and other specifications. In addition to conducting an introductory session on our hosted models (LLAMA and Cohere), we also need to prepare a cost-of-ownership estimate based on the provided figures.",<=$500K,Active,,"Tier 1 - Incoming Engagement",,jomon.kunnel@oracle.com,chen.holtzer@oracle.com,,A7XD8W,West,C08LHBJDNHG,"April 2nd, 2025 at 4:58 AM UTC",U03KT6BUETC,david.azoulay@oracle.com,,,,,
Emaratech,UAE,"Emaratech is one of our key strategic customers in UAE who currently utilizing OCI GPUs for their AI workload and we are proposing OCI Speech Service hence AI Speech demo need to be conducted covering both TTS + STT functionalities. 
The key objective of this demo is to convince Emaratech to use our Speech Services rather that exploring other alternatives like Azure Speech Service and in turn, we ensure maintaining current business and secure expansion deals as well.",<=$1M,Active,Discovery,"Tier 1 - Incoming Engagement",,mohammed.hafeez@oracle.com,,,A7WV8M,MEA,,"April 8th, 2025 at 5:15 AM UTC",U06FG1VD8RW,,,,,,
Sky,"United Kingdom","Customer would like to do an AI Use Case Brainstorming Workshop as a requisite of doing a Co-Create Engagement. We have the customer commitment on Wednesday 9th April at 13:30 UK Time.","<= $100K",Inactive,,"Tier 1 - Incoming Engagement",,,,,A7XKPR,West,,"March 27th, 2025 at 10:04 AM UTC",WBPEM2Y1W,ismail.s.syed@oracle.com,,,,,
"Sega Europe",UK,"Sega attended Oracle Cloud World Tour London in March and met Pankaj Sharma. Sega are interested in AI solutions to enhance E-Business Suite, including Document Understanding. EBS launched on OCI in March 2025 via partner Inoapps. Both customer and partner request assistance to assess purchasing/invoicing use cases for AI amongst other use cases that Oracle can suggest for EBS.","<= $100K",Inactive,,"Tier 1 - Incoming Engagement",,,,,A879RH,West,,"March 25th, 2025 at 10:57 AM UTC",U07CK5S96ET,derek.cullen@oracle.com,,,,,
NCVC,"Saudi Arabia","https://ncvc.gov,sa 

National Center for Vegetation Cover Development and Combating Desertification was established by the decision of the Council of Ministers. The establishment of the center aims to oversee the management and investment of grazing lands, forests, national parks, and to preserve the plant genetic resources and vegetative cover outside the protected areas in the Kingdom in all its environments, as well as combating desertification.

COE Support Needed:
NCVC are interested to learn more about AI use cases of Digital Twin, Vision Applications, AI with RAG and AI Agents. We need COE support to demonstrate these use cases and share references globally that are relevant to NCVC line of business.",<=$500K,Paused,,"Tier 1 - Incoming Engagement",,"mohammed.hafeez@oracle.com, aseel.addawood@oracle.com",,,A879QB,MEA,C08ND37772M|C08NBSUNUG4,"March 25th, 2025 at 1:39 PM UTC",U08521J1272,osama.alhaj-issa@oracle.com,,,,,
Sotio,Czechia,"Sotio is biotech company (owned by PPF) specialised on developing immunotherapies for cancer patients

Current situation 
- Sotio failed phase 3 clinical trials didn't get FDA approval
- they are working on new therapy they are in phase 1 trials

What we can do for them

1. Introduce them to Computational Medicine - current process is that human researchers are reviewing pictures on tumours on screen and do manual note

2. We should replace it the medical vision models that can go through many images of tumours and help identify patterns and assist researchers with developing new immunotherapies as AI models instead only in laboratory 

Oracle itself is is involved in cancer research hence there could be some synergies 

ASK

1. We are preparing for meeting with Chief Medical Research Scientist who is also Professor of Immunology at University, we need support from some who can talk not just technology and sales but also how it actually can help help medical research",<=$500K,Active,,"Tier 1 - Incoming Engagement",,pankaj.b.sharma@oracle.com,,,A7ZJWM,North,,"March 25th, 2025 at 2:37 PM UTC",WBPGH68HE,jiri.kram@oracle.com,,,,,
"National Water Company NWC","Saudi Arabia","To respond RFI about Unified Ai Employee System – Intelligent Assistant, Chatbot, Callbot & Ai Search Engine.",<=$1M,Paused,,"Tier 1 - Incoming Engagement",,aseel.addawood@oracle.com,,,"Need support to respond to the RFI",MEA,C08P8A5Q3DG,"March 26th, 2025 at 12:05 AM UTC",WBNRA2QF2,wael.ezzat@oracle.com,,,,,
SICSAI,Sweden,"SICSAI has provided us with an offer for a B200 Server from Aixia, an NVIDIA DGX SuperPOD-Certified Partner in Scandinavia.

I need assistance in creating a TCO comparison for this offer and identifying the key value points we can leverage to secure the deal.",<=$500K,Inactive,,"Tier 1 - Incoming Engagement",,,,,A85MWB,West,,"March 26th, 2025 at 1:31 PM UTC",U067HCMULRW,jacob.enetjarn@oracle.com,,,,,
"Bapco Energies",Bahrain,"AI explored at Upstream & downstream opportunities",<=$500K,Inactive,,"Tier 1 - Incoming Engagement",,mohammed.hafeez@oracle.com,,,A7Z9VK,MEA,,"March 26th, 2025 at 1:37 PM UTC",WBPCTRNGH,vinod.pais@oracle.com,,,,,
"Bapco Energies",Bahrain,"AI for Upstream & Downstream opportunities.
Mohammed Hafeez engaed.",<=$500K,Inactive,,"Tier 1 - Incoming Engagement",,mohammed.hafeez@oracle.com,,,A7Z9VK,MEA,,"March 26th, 2025 at 1:39 PM UTC",WBPCTRNGH,vinod.pais@oracle.com,,,,,
"Presight Solutions AS",Norway,"Presight Solutions delivers software solutions to companies in the energy sector operating offshore. The solutions monitor operational risk for unwanted events such as major accident hazards, harm to people, environment and equipment and down time. 
Do we have any AI use cases in this sector that can be used in a presentation","<= $100K",Inactive,Discovery,"Tier 1 - Incoming Engagement",,jomon.kunnel@oracle.com,srinivas.karri@oracle.com,,A78BVM,North,C08L3AFJYMP,"March 27th, 2025 at 11:00 AM UTC",WCA6Z1XPE,andreea.pirvu@oracle.com,,,,,
"Globoforce Trading as Workhuman",Ireland,"Customer is interested in understanding more about 23ai and defining workloads that would suit their business. Looking for examples of how it is being used in large enterprise customers.","<= $100K",Inactive,,"Tier 1 - Incoming Engagement",,frank.riemer@oracle.com,,,A7YWNY,SMB,,"April 1st, 2025 at 10:39 AM UTC",U03L4SU1V7E,leah.hadeed@oracle.com,,,,,
Teika,Spain,"This is a Co-Create request. We have identified the following ML use case: customer has got near real time data related to status of their vending machine, and they would like to be able to predict which machines need attention because of low stock. They would like to better optimize the routes to refill the vending machine supplies. They currently use a software for this but it does not apply any intelligence based on data.","<= $100K",Inactive,,"Tier 1 - Incoming Engagement",,muhammad.k.manzoor@oracle.com,,,A87QHK,SMB,C08KR2AC2TX,"March 27th, 2025 at 12:23 PM UTC",WBQFF5HPX,manuel.aviles@oracle.com,,,,,
"Derivados Asfalticos Normalizados (Danosa)",Spain,"This is a Co-Create request. We have identified the following use case: customer would like to get the capacity to classify the material they produce (large panels based on oil derivatives) and identify which ones have got a lump in the surface which indicates it is not fit to sell to end customers. We could potentially use AI Vision for this purpose and this use case will contribute to improve Danosa quality controls and this will translate into a better customer satisfaction.","<= $100K",Inactive,Discovery,"Tier 1 - Incoming Engagement",,cristina.lemnaru@oracle.com,,,A7P43Q,SMB,C08KW9UQ45S,"March 27th, 2025 at 12:25 PM UTC",WBQFF5HPX,manuel.aviles@oracle.com,,,,,
"Ministry of Regional Development",Czechia,"Ministry has named new CIO.
She has mandate from CZ Government to modernise this ministry.

AI will be important part of this journey.

ASK

1. Can you please share success stories from UK, Other EU countries, UAE and Saudi to inspire them?

2. We will have meeting with new CIO that is willing to learn from other countries 


NOTE

This Ministry is important as last year former team and former Minister was responsible for one of biggest failure of state IT systems when new system for construction approvals halted for several weeks construction permits in entire country. And let to failure of Minister and also decreased rating of PM and Government.

Hence if we do it here - others will be keen to follow. ",<=$500K,Inactive,Discovery,"Tier 1 - Incoming Engagement",,saad.akbar@oracle.com,,,A87PVN,North,C08L43X5EMP,"March 28th, 2025 at 6:45 AM UTC",WBPGH68HE,jiri.kram@oracle.com,,,,,
Fresenius,Germany,"The customer has an Oracle health application and is interested to understand the available agents within it and the integration with the GenAI service and how an integration could work. I need to discover the use case, but we need to give some answer to their questions. Opportunity is this one: A79TDJ",<=$500K,Inactive,,"Tier 1 - Incoming Engagement",,srinivas.karri@oracle.com,juergen.h.wirtgen@oracle.com,,A79TDJ,North,C08LJN6PFLY,"March 28th, 2025 at 4:42 PM UTC",U087WS9CGUR,santiago.cabrera.naranjo@oracle.com,,,,,
"De Vere Group","United Kingdom","PANKAJ SHARMA already involved in De Vere Group with a Chatbot request. Same customer.

*** N.B. Callum has already committed to the customer so please let me know if there is a problem with this. ***

This one is for a Demonstration with Finance Data showing the benefits of 23AI to get new insights (such as those shown below) from Opera and Symphony data. 

Demonstration is set for Monday April 7th 11:00 to 12:00 (https://oracle.zoom.us/j/8961071459?pwd=ZZXzzcgyhx0uaacT3AenSlP1ltGObq.1&omn=96227724381&from=addon) this customer is also managed by BOXFUSION, if you happen to know Andy Stephens. 

1. Unified Employee Data Search
Advantage: Enables HR teams to search across structured (e.g., employee records, payroll data) and unstructured data (e.g., performance reviews, feedback documents) in a single platform.
Use Case: Quickly find all information related to an employee, including their performance reviews, training records, and feedback from managers.

2. Semantic Candidate Search
Advantage: Allows HR to search for candidates based on skills, experience, and qualifications using natural language queries.
Use Case: Search for ""candidates with Python experience and project management skills"" and retrieve relevant resumes, even if the exact keywords aren’t used.
3. Employee Sentiment Analysis

Advantage: Combines unstructured data (e.g., exit interviews, surveys) with structured data (e.g., tenure, department) to analyze employee sentiment and identify trends.
Use Case: Identify departments with high turnover by correlating exit interview feedback with employee tenure data.
4. Skill Gap Identification
Advantage: Search across employee records, training data, and job descriptions to identify skill gaps in the workforce.
Use Case: Determine which teams lack expertise in emerging technologies like AI or data analytics.

5. Compliance and Audit Support
Advantage: Quickly retrieve structured and unstructured data (e.g., policies, training records, incident reports) to ensure compliance with regulations.
Use Case: Prepare for audits by searching for all documents related to harassment training or diversity initiatives.

6. Diversity and Inclusion Analytics

Advantage: Combine demographic data (structured) with feedback and survey responses (unstructured) to assess diversity and inclusion efforts.
Use Case: Analyze employee feedback to identify areas where diversity initiatives need improvement.","<= $100K",Inactive,,"Tier 1 - Incoming Engagement",,,,,A87TJC,West,,"March 31st, 2025 at 1:17 PM UTC",WG9D72GT0,joe.besso@oracle.com,,,,,
"UHCW - GenAI",UK,"Description of the Service Request is Hello team, This customer has both the AI Sandbox and a GenAI Agent in their tenancy, and has encouraged them to see how they can be using Oracle AI - they want this bot to be able to answer queries based on quick reference guides, and pull back references based on a user's department. They want to look at elements that could allow users to edit questions once they've sent them through the bot, etc. They have requested a session to workshop all possible AI solutions they can utilize in OCI, a use case also being a bot that can summarize complaint letters and generate a response. Can we please have some guidance from the team and have a session with the customer on what we can do? Thanks, Katie :)","<= $100K",Inactive,,"Tier 1 - Incoming Engagement",,,,,A7QH3M,South,,"March 31st, 2025 at 4:43 PM UTC",U03SM6SH12T,katie.armstrong@oracle.com,,,,,
"Rolls Royce",UK,"Working to explore the art of the possible.Support with a meeting to identify use cases.",<=$500K,Inactive,,"Tier 1 - Incoming Engagement",,srinivas.karri@oracle.com,,,A75YLQ,West,C08LJAQHPD3,"April 1st, 2025 at 8:28 AM UTC",WQYCJKNBH,paul.manaton@oracle.com,,,,,
"Ministry for Justice and Reform of the Construction Sector",Malta,"Customer approached us for 2 different AI projects:
Project 1 - AI Assistant (Digital Assistant) to work as a Legal assistant to provide day-to-day assistance to the Attorney General, State Advocate, and Court Services.
Cusotmer is already testing QAnswer.  Customer also noted the case: https://www.zerounoweb.it/analytics/cognitive-computing/l-intelligenza-artificiale-al-servizio-della-giustizia-amministrativa/ which according to them is very similar what they require.
Project 2 - AI Transcription Services, to implement smart transcriber to text in Maltese for the Court Services Agency, Parliament of Malta, and public use.
For both projects, PWC is the partner on customer site.","<= $100K",Active,Solutioning,"Tier 1 - Incoming Engagement",,cristina.lemnaru@oracle.com,,,A7ZNYW,North,C08MB7GJWJG,"April 7th, 2025 at 3:24 PM UTC",WBQK8R9PZ,george.moykin@oracle.com,,,,,
Roshn,"Saudi Arabia","Roshn is a PIF company in real estate development and investments. Roshn needs to deploy AI in procurement use case and wants to have a POC. I need COE support with this ASAP",<=$500K,Active,Solutioning,"Tier 1 - Incoming Engagement",,"saad.akbar@oracle.com, aseel.addawood@oracle.com",osama.alhaj-issa@oracle.com,,TBC,MEA,C08M5S453GE,"April 8th, 2025 at 8:41 AM UTC",U08521J1272,osama.alhaj-issa@oracle.com,,,,,
"Financial Management Authority",Iceland,"The FMA are using EBS running on-prem and the DB running on Exadata C@C hosted at their Icelandic Partner Advania's location. 

The FMA want to start utilising more AI, however they're uncertain what they can do with their current setup. The set up will in the near future possibly see them move the application from on-prem servers to Compute Cloud@Customer. 

What has been agreed is we do a discovery session with them to understand their business, and then based on their information present them a few use-cases we can start to work on at a follow up meeting.","<= $100K",Active,,"Tier 1 - Incoming Engagement",,sachin.lingadahalli.vittal@oracle.com,,,A87R52,North,C09516DS648,"March 25th, 2025 at 10:53 AM UTC",U028WUUM483,alexander.o.riordan@oracle.com,,,,,
AGEL,Czechia,"Edge AI for hospitals 
My colleague Marek Matlas (is responsible for this account please include him)

AGEL use case 

1. Present C3 and GPU extension to AGEL (private hospital operator)
2. Demonstrate value of C3 L40S GPU inference for hospital operations

","<= $100K",Inactive,,"Tier 1 - Incoming Engagement",,,,,TBD,North,,"April 17th, 2025 at 10:17 AM UTC",WBPGH68HE,jiri.kram@oracle.com,,,,,
BeyondMath,UK,"Customer currently is in a PoC envirnoment. The sales rep wants to put the customer forward for Oracle for scaleups. We need a BoM done for this customer and will be having a call with the customer regarding this tomorrow (15/04/24). It would be great to have someone on the call to assist with this.
If needed I can supply the JEP document for more information.

Thank you in advance","<= $100K",Inactive,,"Tier 1 - Incoming Engagement",,,,,A78F9D,West,,"April 14th, 2025 at 1:14 PM UTC",U07HQ9GBD5H,rashmi.karkada@oracle.com,,,,,
"Medway NHS Foundation Trust","United Kingdom","Chief Clinical Information Officer at Medway Trust is exploring possible use cases for AI in the clinic. Topics discussed include: patient appt triaging, automated scheduling, medication administration, detecting early warning signs, discharge and admissions. Opportunity is in the discovery stage with a placeholder booked in for workshop style meeting with the wider digital team.","<= $100K",Inactive,,"Tier 1 - Incoming Engagement",,,,,A892HD,West,,"April 15th, 2025 at 10:39 AM UTC",U078XHAV1L2,luka.vukoje@oracle.com,,,,,
"WTB Group",France,"Customer is a bed and mattress wholesaler with several sales channels powered by different systems. One of the main pain points they are having is the complexity in which they fetch product and orders references. They would like to use AI to help them cross check and link the data across the company.","<= $100K",Inactive,,"Tier 1 - Incoming Engagement",,,,,A6TSWV,SMB,,"April 16th, 2025 at 9:45 AM UTC",U03A59F4160,mehdi.addar@oracle.com,,,,,
"AI Agent",Germany,"the customer wants to create a test AI Agent with a knowledge base","<= $100K",Inactive,,"Tier 1 - Incoming Engagement",,,,,A7GVMQ,North,,"April 16th, 2025 at 12:35 PM UTC",WNNK45H54,emil.klapija@oracle.com,,,,,
DSIT,UK,"Cross-gov agentic AI
Spoken to Pankaj Sharma about this opportunity and he will be working on it.","<= $100K",Inactive,,"Tier 1 - Incoming Engagement",,,,,"No opp yet",West,,"April 16th, 2025 at 1:40 PM UTC",U01LT67SW2W,paul.w.walker@oracle.com,,,,,
"FSDH Group",Nigeria,"The customer is interested in using AI to automate their work processes and also setup a Digital assistant that can help customers with Financial Analysis and make Investment recommendations.","<= $100K",Inactive,,"Tier 1 - Incoming Engagement",,jomon.kunnel@oracle.com,,,A8967D,MEA,C08N78E5T7G,"April 16th, 2025 at 2:16 PM UTC",U04EBUF91NY,ismaila.salami@oracle.com,,,,,
"Tamweel Al-Oula","Saudi Arabia","As one of the Kingdom’s pioneers in offering Shariah-compliant financing solutions, Tamweel Aloula provides personal financing, auto leasing, and real estate financing tailored for retail and SME customers.

Customer requires a demo on the following:

1.	Omni channel journey – Customer journey
2.	Automate decision-making – Leverage fully integrated and automated rule based decisioning
3.	Accelerate approvals – Reduce processing time from weeks to days with seamless workflows.
4.	Enhance compliance – Ensure Shariah-compliant financing with right accounting
5.	Deliver a frictionless experience – Enable merchants to offer instant, embedded financing at checkout.


GenAI-powered workflows:
Loan application processing: Automated loan applications with real-time credit scoring and recommendations based on customer behavior.
Credit decisioning: AI-driven credit decisions that consider multiple factors, such as income, employment history, and credit utilization.
Risk assessment: Advanced risk assessments using machine learning algorithms to predict likelihood of default.
 
GenAI-powered data:
Customer profiling: Advanced customer profiling using machine learning algorithms to create detailed profiles based on behavior, preferences, and financial history.
Predictive analytics: Predictive models that forecast potential loan outcomes, enabling proactive decision-making.
 
GenAI-powered documents:
Loan agreements: Customized loan agreements with personalized terms, conditions, and repayment schedules.
Document classification: can differentiate between cards, bills, payment slip, .. with different formats then automatically analyze the content and classify each document type with high accuracy.
Automate Data verification: facilitates seamless integration with downstream systems and third-party verification services/APIs","<= $100K",Inactive,Qualification,"Tier 1 - Incoming Engagement",Other,"srinivas.karri@oracle.com, aseel.addawood@oracle.com",,,A7X2J2,MEA,C08NWD514RZ,"April 17th, 2025 at 7:08 AM UTC",WBQAS2KKL,omar.mohsen@oracle.com,,,,,
Sanrio,Germany,"Sanrio is a company for creating and licensing popular characters like e.g. Hello Kitty. They have many recurring processes, which is why the legal counsel would like to look into the topic of AI in order to possibly streamline processes.","<= $100K",Complete,Qualification,"Tier 1 - Incoming Engagement",,frank.riemer@oracle.com,,,A895YJ,North,C08P2UQKEQH,"April 18th, 2025 at 10:09 AM UTC",U06T3BMPBU3,tabea.polenske@oracle.com,"• Provided Account Team Solution Design",,,,
